Author,Birth Year,Death Year,Display Name
Michel Foucault,1926,1984,Michel Foucault
Jacques Derrida,1930,2004,Jacques Derrida
Jürgen Habermas,1929,,Jürgen Habermas
Karl Popper,1902,1994,Karl Popper
Hannah Arendt,1906,1975,Hannah Arendt
Theodor W. Adorno,1903,1969,Theodor W. Adorno
Max Horkheimer,1895,1973,Max Horkheimer
Herbert Marcuse,1898,1979,Herbert Marcuse
Alasdair MacIntyre,1929,,Alasdair MacIntyre
Richard Rorty,1931,2007,Richard Rorty
John Rawls,1921,2002,John Rawls
Robert Nozick,1938,2002,Robert Nozick
Martha Nussbaum,1947,,Martha Nussbaum
Amartya Sen,1933,,Amartya Sen
Judith Butler,1956,,Judith Butler
Charles Taylor,1931,,Charles Taylor
Slavoj Žižek,1949,,Slavoj Žižek
Alain Badiou,1937,,Alain Badiou
Gilles Deleuze,1925,1995,Gilles Deleuze
Félix Guattari,1930,1992,Félix Guattari
Paul Ricoeur,1913,2005,Paul Ricoeur
Emmanuel Levinas,1906,1995,Emmanuel Levinas
Hans-Georg Gadamer,1900,2002,Hans-Georg Gadamer
Albert Camus,1913,1960,Albert Camus
Maurice Blanchot,1907,2003,Maurice Blanchot
Isaiah Berlin,1909,1997,Isaiah Berlin
Karl Jaspers,1883,1969,Karl Jaspers
Gabriel Marcel,1889,1973,Gabriel Marcel
Alfred North Whitehead,1861,1947,Alfred North Whitehead
Gilbert Ryle,1900,1976,Gilbert Ryle
Donald Davidson,1917,2003,Donald Davidson
Saul Kripke,1940,2022,Saul Kripke
Hilary Putnam,1926,2016,Hilary Putnam
Thomas Nagel,1937,,Thomas Nagel
Derek Parfit,1942,2017,Derek Parfit
Peter Singer,1946,,Peter Singer
Michael Sandel,1953,,Michael Sandel
Willard Van Orman Quine,1908,2000,Willard Van Orman Quine
John Searle,1932,,John Searle
Daniel Dennett,1942,,Daniel Dennett
David Chalmers,1966,,David Chalmers
Patricia Churchland,1943,,Patricia Churchland
Paul Feyerabend,1924,1994,Paul Feyerabend
Thomas Kuhn,1922,1996,Thomas Kuhn
Michel Henry,1922,2002,Michel Henry
Quentin Meillassoux,1967,,Quentin Meillassoux
Cornel West,1953,,Cornel West
Kwame Anthony Appiah,1954,,Kwame Anthony Appiah
Avicenna,980,1037,Avicenna
Averroes,1126,1198,Averroes
Al-Farabi,872,950,Al-Farabi
Al-Ghazali,1058,1111,Al-Ghazali
Mulla Sadra,1571,1640,Mulla Sadra
Ibn Khaldun,1332,1406,Ibn Khaldun
Mencius,-372,-289,Mencius
Wang Yangming,1472,1529,Wang Yangming
Xunzi,-310,-235,Xunzi
Han Feizi,-280,-233,Han Feizi
Nagarjuna,150,250,Nagarjuna
Vasubandhu,316,396,Vasubandhu
Dignaga,480,540,Dignaga
Dharmakirti,600,660,Dharmakirti
Shankara,788,820,Shankara
Ramanuja,1017,1137,Ramanuja
Madhva,1238,1317,Madhva
Sri Aurobindo,1872,1950,Sri Aurobindo
Rabindranath Tagore,1861,1941,Rabindranath Tagore
Jiddu Krishnamurti,1895,1986,Jiddu Krishnamurti
G.E. Moore,1873,1958,G.E. Moore
John Dewey,1859,1952,John Dewey
C.I. Lewis,1883,1964,C.I. Lewis
Richard Swinburne,1934,,Richard Swinburne
Alvin Plantinga,1932,,Alvin Plantinga
William Lane Craig,1949,,William Lane Craig
Henri Lefebvre,1901,1991,Henri Lefebvre
Jean Baudrillard,1929,2007,Jean Baudrillard
Cornelius Castoriadis,1922,1997,Cornelius Castoriadis
Ivan Illich,1926,2002,Ivan Illich
Jacques Ellul,1912,1994,Jacques Ellul
Pierre Bourdieu,1930,2002,Pierre Bourdieu
Antonio Gramsci,1891,1937,Antonio Gramsci
Raymond Geuss,1946,,Raymond Geuss
David Lewis,1941,2001,David Lewis
Peter Strawson,1919,2006,Peter Strawson
R.G. Collingwood,1889,1943,R.G. Collingwood
José Ortega y Gasset,1883,1955,José Ortega y Gasset
Giordano Bruno,1548,1600,Giordano Bruno
Erasmus of Rotterdam,1466,1536,Erasmus of Rotterdam
Michel de Montaigne,1533,1592,Michel de Montaigne
John Scotus Eriugena,815,877,John Scotus Eriugena
Parmenides,-515,-450,Parmenides
Heraclitus,-535,-475,Heraclitus
Protagoras,-490,-420,Protagoras
Democritus,-460,-370,Democritus
Thales,-624,-546,Thales
Anaximander,-610,-546,Anaximander
Anaximenes,-586,-526,Anaximenes
Diogenes of Sinope,-412,-323,Diogenes of Sinope
Chrysippus,-279,-206,Chrysippus
Duns Scotus,1266,1308,Duns Scotus
Thomas Reid,1710,1796,Thomas Reid
Charles Sanders Peirce,1839,1914,Charles Sanders Peirce
Jacques Rancière,1940,,Jacques Rancière
Ernesto Laclau,1935,2014,Ernesto Laclau
Chantal Mouffe,1943,,Chantal Mouffe
