Author,Birth Year,Death Year,Display Name
Santiago Ramón y Cajal,1852,1934.0,Santiago Ramón y Cajal
Thomas Hunt Morgan,1866,1945.0,Thomas Hunt Morgan
Hermann Staudinger,1881,1965.0,Hermann Staudinger
Robert Koch,1843,1910.0,Robert Koch
Hans Bethe,1906,2005.0,Hans Bethe
Victor Hess,1883,1964.0,Victor Hess
James Chadwick,1891,1974.0,James Chadwick
Irving Langmuir,1881,1957.0,Irving Langmuir
Glenn T. Seaborg,1912,1999.0,Glenn T. Seaborg
Charles Babbage,1791,1871.0,Charles Babbage
John Logie Baird,1888,1946.0,John Logie Baird
Hedy Lamarr,1914,2000.0,Hedy Lamarr
Nikolaus Otto,1832,1891.0,Nikolaus Otto
Rudolf Diesel,1858,1913.0,Rudolf Diesel
Karl Benz,1844,1929.0,Karl Benz
Leonardo da Vinci,1452,1519.0,Leonardo da Vinci
Ibn al-Haytham,965,1040.0,Ibn al-Haytham
Al-Khwarizmi,780,850.0,Al-Khwarizmi
Omar Khayyam,1048,1131.0,Omar Khayyam
Avicenna,980,1037.0,Avicenna
Robert Boyle,1627,1691.0,Robert Boyle
Evangelista Torricelli,1608,1647.0,Evangelista Torricelli
Blaise Pascal,1623,1662.0,Blaise Pascal
Christian Huygens,1629,1695.0,Christian Huygens
Antoine-Henri Becquerel,1852,1908.0,Antoine-Henri Becquerel
Daniel Bernoulli,1700,1782.0,Daniel Bernoulli
André-Marie Ampère,1775,1836.0,André-Marie Ampère
Georg Ohm,1789,1854.0,Georg Ohm
Gustav Kirchhoff,1824,1887.0,Gustav Kirchhoff
Hans Geiger,1882,1945.0,Hans Geiger
Augustin-Jean Fresnel,1788,1827.0,Augustin-Jean Fresnel
